name	rule	group
Cellulose	[GH5 | GH8 | GH9 | GH10 | GH12 | GH44 | GH45 | GH124] & [GH6 | GH7 | GH48] & [GH1 | GH3 | GH94 | GH116]	Carbon Processing
Hemicellulose	[GH5 | GH9 | GH10 | GH11 | GH12 | GH16 | GH26 | GH44 | GH45 | GH74 | GH113 | GH134] & [GH2 | GH31 | GH38 | GH43 | GH51 | GH63 | GH92 | GH125 | GH130 | CE1 | CE2 | CE4 | CE17]	Carbon Processing
Lignin	[AA1 | mco | AA2 | dyp] & [AA3_1 | AA3_2 | AA5_1 | AA8]	Carbon Processing
Starch	[GH13 | GH14 | GH15 | GH57 | GH97 | GH119 | GH126 | GH133]	Carbon Processing
Pectin	[GH28 | PL1 | PL2 | PL3 | PL4 | PL9 | PL10 | PL11 | PL22 | PL26] & [GH78 | GH106 | GH105 | GH4 | GH2 | GH138 | GH139 | GH143] & [CE8 | CE12]	Carbon Processing
Sucrose	K01182 | K01203 | K12047 | K01187 | K12316 | K12317 | K06617 | K01193 | K00695 | K02810 | K00690 | K05341 | K00689 | K00692	Carbon Processing
Mannose	[K01809 | K02793 | K02794 | K02795] | K02796	Carbon Processing
Galactose	[K00849 | K00965 | K01784] | K01785	Carbon Processing
Fucose	[K00879 | K01628] | K01818	Carbon Processing
Xylose	[K00854 | K01805 | K00008 | K00011 | K00854 | K05351 | K17743 | K00078 | K14273 | K14274] | K14275	Carbon Processing
Fructose	K00008 | K00045 | K27924 | K00007 | K00844 | K00847 | K01805 | K00846 | K27475 | K02768 | K02769 | K02770 | K02771 | K11194 | K11195 | K11196	Carbon Processing
Arabinose	K01804 | K00011 | K26066 | K13873 | K19660 | K12446	Carbon Processing
Rhamnose	K01813 | K01820 | K18337	Carbon Processing
Pyruvate (SCFA)	[K00163 | K00174 | K00656]	Carbon Processing
Acetate (SCFA)	[[K00625 & K00925] | K01905 | K01067]	Carbon Processing
Lactate (SCFA)	[K00016 | K00101 | K03778 | K03777]	Carbon Processing
Butyrate (SCFA)	[K00634 & [K00929 | K01896]]	Carbon Processing
Propionate (SCFA)	[K19697 & K01026]	Carbon Processing
Alcohol 	[K00001 | K00121 | K04072 | K13951 | K13952 | K13953 | K13954 | K13980 | K18857]	Carbon Processing
CO2 Fixation	[K00192 & K00193 & K00194 & K00195 & K00197]	Carbon Processing
CH4 Oxidation	[K10944 & K10945 & K10946] | [K16157 & K16158 & K16159 & K16160 & K16161 & K16162]	Carbon Processing
Nitrate Transformation	[[K00370 & K00371] | [K02567 & K02568]] & [K00368 | K15864]	Nitrogen Cycling
Urea Transformation	[K01428 & K01429 & K01430]	Nitrogen Cycling
Ammonium Transformation	[K28504 | K10944 | K10945 | K10946] & K10535	Nitrogen Cycling
Nitrite Reduction	[K00368 | K15864]	Nitrogen Cycling
Nitrate Reduction	[K00370 & K00371]|[K02567 & K02568]	Nitrogen Cycling
NO to N2O 	[K04561 | K15877]	Nitrogen Cycling
N2O to N2	K00376	Nitrogen Cycling
DNRA to Ammonium	[[K00370 & K00371] | [K02567 & K02568]] & [[K00362 & K00363] | [K03385 & K15876]]	Nitrogen Cycling
Assimilatory Nitrate Reduction	[[K00367 | K10534 | [K00372 & K00360]] & [K00366 | K17877 | [K26138 & K26139] | K00361]] | K02575	Nitrogen Cycling
N2 Fixation	[K00531 & [K02586 & K02588 & K02591]] | [K22896 & K22897 & K22898 & K22899]	Nitrogen Cycling
Aerobic Ammonium Oxidation	[K28504 | K10945 | K10946] & K10535	Nitrogen Cycling
Aerobic Nitrate	K00370 & K00371	Nitrogen Cycling
Anaerobic Ammonium	[K00368 | K15864] & [K20932 & K20933 & K20934] & K20935	Nitrogen Cycling
