name	long_name	alias	rule	group
M00001	"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"	m1	"path_steps([K00844 | K12407 | K00845 | K25026 | K00886 | K08074 | K00918],
			 [K01810 | K06859 | K13810 | K15916],
			 [K00850 | K16370 | K21071 | K24182 | K00918],
			 [K01623 | K01624 | K11645 | K16305 | K16306],
			 K01803,
			 [[[K00134 | K00150],K00927] | K11389],
			 [K01834 | K15633 | K15634 | K15635],
			 [K01689 | K27394],
			 [K00873 | K12406])"	Module
M00004	Pentose phosphate pathway (Pentose phosphate cycle)	m4	"path_steps([K13937 | [[K00036 | K19243],[K01057 | K07404]]],
			  K00033,
			  K01783,
			  [K01807 | K01808],
			  K00615,
			  [[K00616,[K01810 | K06859 | K15916]] | K13810])"	Module
M00008	"Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate"	m8	"path_steps(K00036,
			[K01057 | K07404],
			K01690,
			K01625)"	Module
M00009	"Citrate cycle (TCA cycle, Krebs cycle)"	m9	"path_steps([K01647 | K05942 | K01659],
			[K01681 | K27802 | K01682],
			[K00031 | K00030],
			[[[[K00164 & K00658] | K01616] & K00382] | [K00174 & K00175]],
			[[K01902 & K01903] | [K01899 & K01900] | K18118],
			[[K00234 & K00235 & K00236 & [K00237 | K25801]] | [K00239 & K00240 & K00241] | [K00244 & K00245 & K00246]],
			[K01676 | K01679 | [K01677 & K01678]],
			[K00026 | K00025 | K00024 | K00116])"	Module
M00012	Glyoxylate cycle	m12	"path_steps([K01647 | K01659],
			[K01681 | K27802 | K01682],
			K01637,
			[K01638 | K19282],
			[K00026 | K00025 | K00024])"	Module
M00165	Reductive pentose phosphate cycle (Calvin cycle)	m165	"path_steps([K00855 | K28462],
			K01601,
			K00927,
			[K05298 | K00150 | K00134],
			K01803,
			[K01623 | K01624],
			[K03841 | K02446 | K11532 | K01086],
			K00615,
			[K01100 | K11532 | K01086],
			[K01807 | K01808],
			K01783)"	Module
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	m173	"path_steps([[K00169 & K00170 & K00171 & K00172] | K03737 | [K28726 & K28727 & K28729 & K28728]],
			[[[K01007 | K01006],K01595] | [K01959 & K01960] | K01958],
			K00024,
			[K01676 | K01679 | [K01677 & K01678]],
			[[K00239 & K00240] | [K18556 & K18557 & K18558 & K18559 & K18560]],
			[K01902 & K01903],
			[K00174 & K00175],
			K00031,
			[K27802 | K01682],
			[[K15230 & K15231] | [K15232 & K15233,K15234]])"	Module
M00374	Dicarboxylate-hydroxybutyrate cycle	m374	"path_steps([K00169 & K00170 & K00171 & K00172],
			K01007,
			K01595,
			K00024,
			[K01677 & K01678],
			[K00239 & K00240],
			[K01902 & K01903],
			[K15038 | K15017],
			K14465,
			[K14467 | K18861 | K25774],
			K14534,
			K15016,
			K00626)"	Module
M00375	Hydroxypropionate-hydroxybutylate cycle	m375	"path_steps([K01964 & K15037 & K15036],
			K15017,
			K15039,
			K15018,
			K15019,
			K15020,
			K05606,
			[K01848 & K01849],
			[K15038 | K15017],
			K14465,
			[K14466 | K18861 | K25774],
			K14534,
			K15016,
			K00626)"	Module
M00376	3-Hydroxypropionate bi-cycle	m376	"path_steps([K02160 & K01961 & K01962 & K01963],
			K14468,
			K14469,
			K15052,
			K05606,
			[K01847 | [K01848 & K01849]],
			[K14471 & K14472],
			[K00239 & K00240 & K00241],
			K01679,
			K08691,
			K14449,
			K14470,
			K09709)"	Module
M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	m377	"path_steps(K00198,
			[K05299 | [K22015 & K25123 & K25124]],
			K01938,
			K01491,
			K00297,
			K15023,
			K14138 & K00197 & K00194)"	Module
M00422	"Acetyl-CoA pathway, CO2 => acetyl-CoA"	m422	"path_steps(K00192 & K00195,K00193 & K00197 & K00194)"	Module
