name	alias	gene_ids	rule	module	group	notes
Calvin Cycle	CalvinCycle	K00927,EC:2.7.2.3,K05298,EC:1.2.1.13,K00150,EC:1.2.1.59,K00134,EC:1.2.1.12,K01623,EC:4.1.2.13,K01624,EC:4.1.2.13,K03841,EC:3.1.3.11,K02446,EC:3.1.3.11,K11532,EC:3.1.3.11,K01086,EC:3.1.3.11,K04041,EC:3.1.3.11,K00615,EC:2.2.1.1,K01100,EC:3.1.3.37,K01807,EC:5.3.1.6,K01808,EC:5.3.1.6,K00855,EC:2.7.1.19, K01601,EC:4.1.1.39 , K01602,EC:4.1.1.39	percent(50,[K00927|EC:2.7.2.3,K05298|EC:1.2.1.13,K00150|EC:1.2.1.59,K00134|EC:1.2.1.12,K01623|EC:4.1.2.13,K01624|EC:4.1.2.13,K03841|EC:3.1.3.11,K02446|EC:3.1.3.11,K11532|EC:3.1.3.11,K01086|EC:3.1.3.11,K04041|EC:3.1.3.11,K00615|EC:2.2.1.1,K01100|EC:3.1.3.37,K01807|EC:5.3.1.6,K01808|EC:5.3.1.6,K00855|EC:2.7.1.19]) & [[K01601|EC:4.1.1.39]|[K01602|EC:4.1.1.39]]	Carbon Transformations	Carbon Fixation	For a genome to encode the Calvin Cycle, it must encode at least 50% of the genes encoding the pathway, plus encode the large and small subunits of 2-Oxoglutarate Ferredoxin Oxidoreductase
Reductive Citric Acid Cycle	ReductiveCitricAcidCycle	K15230,K15231,EC:2.3.3.8,K15234,EC:4.1.3.34 ,K00174,K00175,K00176,K00177,EC:1.2.7.3 , K00244,K00245,K00246,K00247,K00239,K00240,K00241,K00242,K18556,K18557,K18558, K18559, K18560,EC:1.3.5.4,EC:1.3.1.6,EC:1.3.5.1, K00024,EC:1.1.1.37, K01676,K01677,K01678,K01679,EC:4.2.1.2, K01902,K01903,EC:6.2.1.5, K01681,K01682,EC:4.2.1.3, K00031,K00030,EC:1.1.1.42,EC:1.1.1.41 	[[K15230|K15231|EC:2.3.3.8]|[K15234|EC:4.1.3.34]] &[K00174|K00175|K00176|K00177|EC:1.2.7.3] & at_least(4, PRESENCE, [ [K00244|K00245|K00246|K00247|K00239|K00240|K00241|K00242|K18556|K18557|K18558|K18559|K18560|EC:1.3.5.4|EC:1.3.1.6|EC:1.3.5.1], [K00024|EC:1.1.1.37], [K01676|K01677|K01678|K01679|EC:4.2.1.2], [K01902|K01903|EC:6.2.1.5], [K01681|K01682|EC:4.2.1.3], [K00031|K00030|EC:1.1.1.42|EC:1.1.1.41] ])	Carbon Transformations	Carbon Fixation	For a genome to encode the Reductive Citric Acid Cycle, it must encode the defining carbon-fixing reaction (ATP citrate lyase or citryl-CoA lyase), the ferredoxin-dependent 2-oxoglutarate oxidoreductase, and coverage of at least 4 of the 6 remaining core cycle steps
Hydroxypropionate-Hydroxybutyrate Cycle	Hydroxypropionate-HydroxybutyrateCycle	K01964,EC:6.4.1.2,EC:6.4.1.3,K15037,K15036,EC:6.4.1.2,EC:6.4.1.3,K15017,EC:1.2.1.75,K15039,EC:1.1.1.298,K15018,EC:6.2.1.36,K15019,EC:4.2.1.116,K15020,EC:1.3.1.84,K05606,EC:5.1.99.1,K01848,EC:5.4.99.2,K01849,EC:5.4.99.2,K15038,EC:1.2.1.76,K14465,EC:1.1.1.,K14466,EC:6.2.1.40,K18861,EC:6.2.1.40,K14534,EC:4.2.1.120,EC:5.3.3.3,K15016,EC:4.2.1.17,EC:1.1.1.35,K00626,EC:2.3.1.9	percent(50,[K01964|[EC:6.4.1.2&EC:6.4.1.3],K15037,K15036|[EC:6.4.1.2&EC:6.4.1.3],K15017|EC:1.2.1.75,K15039|EC:1.1.1.298,K15018|EC:6.2.1.36,K15019|EC:4.2.1.116,K15020|EC:1.3.1.84,K05606|EC:5.1.99.1,K01848|EC:5.4.99.2,K01849|EC:5.4.99.2,K15038|EC:1.2.1.76,K14465|EC:1.1.1.-,K14466|EC:6.2.1.40,K18861|EC:6.2.1.40,K14534|[EC:4.2.1.120&EC:5.3.3.3],K15016|[EC:4.2.1.17&EC:1.1.1.35],K00626|EC:2.3.1.9])	Carbon Transformations	Carbon Fixation	For a genome to encode the Hydroxypropionate-Hydroxybutyrate,it must encode at least 50% of the genes encoding the pathway
Dicarboxylate Hydroxybutyrate Cycle	DicarboxylateHydroxybutyrateCycle	K00169,EC:1.2.7.1,K00170,EC:1.2.7.1,K00171,EC:1.2.7.1,K00172,EC:1.2.7.1,K01007,EC:2.7.9.2,K01595,EC:4.1.1.31,K00024,EC:1.1.1.37,K01676,EC:4.2.1.2,K01677,EC:4.2.1.2,K01678,EC:4.2.1.2,K00239,EC:1.3.5.1,EC:1.3.5.4,K00240,EC:1.3.5.1,EC:1.3.5.4,K00241,EC:1.3.5.1,EC:1.3.5.4,K18860,EC:1.3.5.1,EC:1.3.5.4,K01902,EC:6.2.1.5,K01903,EC:6.2.1.5,K15038,EC:1.2.1.76,K15017,EC:1.2.1.76,K14465,EC:1.1.1.-,K14467,EC:6.2.1.40,K18861,EC:6.2.1.40,K14534,EC:4.2.1.120,K15016,EC:4.2.1.17,EC:1.1.1.35,K00626,EC:2.3.1.9	percent(50,[K00169|EC:1.2.7.1,K00170|EC:1.2.7.1,K00171|EC:1.2.7.1,K00172|EC:1.2.7.1,K01007|EC:2.7.9.2,K01595|EC:4.1.1.31,K00024|EC:1.1.1.37,K01676|EC:4.2.1.2,K01677|EC:4.2.1.2,K01678|EC:4.2.1.2,K00239|[EC:1.3.5.1&EC:1.3.5.4],K00240|[EC:1.3.5.1&EC:1.3.5.4],K00241|[EC:1.3.5.1&EC:1.3.5.4],K18860|[EC:1.3.5.1&EC:1.3.5.4],K01902|EC:6.2.1.5,K01903|EC:6.2.1.5,K15038|EC:1.2.1.76,K15017|EC:1.2.1.76,K14465|EC:1.1.1.-,K14467|EC:6.2.1.40,K18861|EC:6.2.1.40,K14534|EC:4.2.1.120,K15016|[EC:4.2.1.17&EC:1.1.1.35],K00626|EC:2.3.1.9])	Carbon Transformations	Carbon Fixation	For a genome to encode the Dicarboxylate Hydroxybutyrate,it must encode at least 50% of the genes encoding the pathway
3-Hydroxypropionate Cycle	3-HydroxypropionateCycle	K14449,EC:4.2.1.148,K14470,EC:5.4.1.3,K09709,EC:4.2.1.153,K08691,EC:4.1.3.24,EC:4.1.3.25	[K08691|[EC:4.1.3.24&EC:4.1.3.25]]&percent(50,[K14449|EC:4.2.1.148,K14470|EC:5.4.1.3,K09709|EC:4.2.1.153])	Carbon Transformations	Carbon Fixation	For a genome to encode the 3-Hydroxypropionate Cycle,it must encode at least 50% of the genes encoding the pathway
Wood-Lungdahl Pathway	Wood-LungdahlPathway	K05299,K22015,K00123,EC:1.17.1.10,EC:1.17.1.9,K01938,EC:6.3.4.3,K01491,EC:3.5.4.9,EC:1.5.1.5, K00297,EC:1.5.1.20,K15023,EC:2.1.1.258,K00198,K00196,EC:1.2.7.4,K14138,EC:2.3.1.169, K00197,K00194,EC:2.1.1.245	at_least(3, PRESENCE, [ [K05299|K22015|K00123|EC:1.17.1.10|EC:1.17.1.9], [K01938|EC:6.3.4.3], [K01491|EC:3.5.4.9|EC:1.5.1.5], [K00297|EC:1.5.1.20] ]) &[K15023|EC:2.1.1.258] & at_least(2, PRESENCE, [ [K00198|K00196|EC:1.2.7.4], [K14138|EC:2.3.1.169], [K00197|K00194|EC:2.1.1.245] ])	Carbon Transformations	Carbon Fixation	For a genome to encode the Wood-Lungdahl Pathway,this rule requires evidence for a formate or CO2 reduction entry point, a functional glycine cleavage system, formate-tetrahydrofolate ligase and cyclohydrolase, and either a complete corrinoid/methyltransferase-acetyl-CoA synthase branch or an alternative serine hydroxymethyltransferase route
Reductive Glycine Pathway	ReductiveGlycinePathway	K01938,K01491 ,K00122,K00123,K00126,K00127,K22515,K05299 ,K15022,K22338,K22339,K22340,K22341,K08348 , K08349 , K08350,K00281,K00282, K00283,K00605,K00382,K10670,K10671,K10672,K21576,K21577,K03671,K00384,K00625 ,K13788 , K04020 ,K15024,K00925,K00600 , K01752	[at_least(4, PRESENCE, [K00122,K00123,K00126,K00127,K22515])|[K05299&K15022]|at_least(3, PRESENCE, [K22338,K22339,K22340,K22341])|[K08348&K08349&K08350]]&at_least(3, PRESENCE, [K00281|[K00282&K00283],K00605,K00382])&K01938&K01491&[[at_least(5, PRESENCE, [K10670,K10671,K10672,K21576,K21577,K03671,K00384])&[K00625|K13788|K04020|K15024|K00925]]|[K00600&K01752]]	Carbon Transformations	Carbon Fixation	For a genome to encode the Reductive Glycine Pathway, it must encode a formate dehydrogenase complex, the majority of the glycine cleavage system, it must encode formate-tetrahydrofolate ligase, and methylenetetrahydrofolate dehydrogenase NADP+ / methenyltetrahydrofolate cyclohydrolase, and one of the two pathways of glycine synthesis
Cellulose	Cellulose	GH94, GH1, GH2, GH3, GH5, GH9, GH16, GH116, GH6, GH8, GH10, GH124, GH12, GH44, GH45, GH7, GH48, AA10, AA15, AA16, AA9, AA11, AA13	[GH5|GH8|GH9|GH10|GH12|GH44|GH45|GH124]&[GH6|GH7|GH48]&[GH1|GH3|GH94|GH116]	Carbon Transformations	Plant-derived Polymers	A genome is capable of cellulose degradation if it encodes at least one endo-acting cellulase, one exo-acting cellobiohydrolase, and one β-glucosidase. LPMOs AA9, AA10, AA16 provide an oxidative bonus that enhances but is not essential for cellulose degradation.
Hemicellulose	Hemicellulose	GH113, GH134, GH26, GH5, GH130, CE2, CE17, GH2, GH99, GH76, GH92, GH38, GH63, GH47, GH125, GH9, GH12, GH16, GH44, GH45, GH48, GH74, AA9, GH31, GH43, GH10, GH11, GH51, CE1, CE4	[GH5|GH9|GH10|GH11|GH12|GH16|GH26|GH44|GH45|GH74|GH113|GH134]&[GH2|GH31|GH38|GH43|GH51|GH63|GH92|GH125|GH130|CE1|CE2|CE4|CE17]	Carbon Transformations	Plant-derived Polymers	For a genome to have hemicellulose degradation capability, it should encode: at least one backbone hydrolase, one side-chain/esterase, and optionally an LPMO for enhanced activity.
Lignin Polyphenol oxidase	LigninPolyphenoloxidase	AA1, mco, AA2, dyp, AA3_2, AA5_1, AA8, AA3_1	[AA1|mco|AA2|dyp]&[AA3_1|AA3_2|AA5_1|AA8]	Carbon Transformations	Plant-derived Polymers	For a genome to have lignin degradation capability, it should encode: at least one oxidative polymer attack enzyme AA1, mco, AA2, dyp and one redox support enzyme AA3_1, AA3_2, AA5_1, AA8 to drive oxidative depolymerization.
