name	rule	module	group	notes	gene_ids
Dissimilatory Sulfate Reduction	[K00394 & K00395] & [HMM@dsrA & HMM@dsrB]	Sulfur Cycling	Sulfide Production	Dissimilatory sulfate reduction to sulfide (H2S); key souring mechanism in oil & gas systems. Requires adenylysulfate reductase (aprAB; K00394, K00395) and dissimilatory sulfite reductase (dsrAB; HMM@dsrA, HMM@dsrB).	K00394, K00395, K11180 | dsrA, K11181 | dsrB
Thiosulfate Reduction (Respiratory)	at_least(2, PRESENCE, [K08352, K08353, K08354])	Sulfur Cycling	Sulfide Production	Respiratory thiosulfate reduction via the PhsABC thiosulfate reductase complex (phsA K08352, phsB K08353, phsC K08354). Requires at least 2 of 3 subunits to account for incomplete genome recovery in metagenomic data. Uses thiosulfate as terminal electron acceptor under anaerobic conditions. Found in Salmonella, Citrobacter, and diverse anaerobes.	K08352 | thiosulfate_reductase_phsA_alignment, K08353, K08354
Thiosulfate Reduction (Rhodanese)	K01011 | Rhodanese	Sulfur Cycling	Sulfide Production	Thiosulfate sulfurtransferase (rhodanese; K01011 rdl/glpE-type, K14180 mitochondrial-type) transfers sulfur from thiosulfate to cyanide or other acceptors, producing sulfite and thiocyanate. Also involved in sulfur relay and cyanide detoxification. Distinct from respiratory thiosulfate reduction — does not conserve energy via electron transport. Extremely widespread across bacteria and archaea so interpret cautiously; presence alone is not diagnostic of dedicated thiosulfate metabolism.	K01011 | Rhodanese
Sulfur Oxidation - SOX	[K17223 | K17222] & [K17226 | K17227] & K17224	Sulfur Cycling	Sulfur Oxidation	Oxidation of reduced sulfur compounds via the SOX multienzyme complex. SoxXA (K17223, K17222) initiate sulfur binding, SoxYZ (K17226, K17227) are the sulfur-carrying proteins, and SoxB (K17224) is the sulfate-releasing thiohydrolase. SoxCD (K17225, K22622) are optional and indicate complete oxidation to sulfate without intermediates.	K17222, K17223, K17224, K17226, K17227, K17225, K22622
Sulfur Oxidation - Reverse dsr	[K11180 | dsrA | K11181 | dsrB] & K27196	Sulfur Cycling	Sulfur Oxidation	Oxidation of stored sulfur globules via reverse-running DsrAB, distinguished from reductive DsrAB by co-occurrence with dsrL (K27196), an NADH-dependent oxidoreductase found exclusively in sulfur-oxidizing organisms. Both dsrA/dsrB (K11180/K11181) and dsrL (K27196) required. Found in Chlorobi, some Gammaproteobacteria, and Chromatiales.	K11180 | dsrA, K11181 | dsrB, K27196
Tetrathionate Reduction	at_least(2, PRESENCE, [K08359, K08358, K08357])	Sulfur Cycling	S Transformations	Tetrathionate reduction via the ttrABC system (ttrA K08359, ttrB K08358, ttrC K08357). At least 2 of 3 subunits required. Relevant as an alternative electron acceptor in anaerobic subsurface and industrial systems.	K08359, K08358, K08357
Sulfur Disproportionation	K00958 & [K00394 | K00395] & [K11180 | K11181]	Sulfur Cycling	S Transformations	Disproportionation of elemental sulfur or thiosulfate to sulfate and sulfide simultaneously. Requires ATP sulfurylase (K00958), adenylyl-sulfate reductase (K00394 or K00395), and sulfite reductase (K11180 or K11181).	K00958, K00394, K00395, K11180, K11181
Hydrogenotrophic Methanogenesis	HMM@McrA & [at_least(1, PRESENCE, [K14126, K14127, K14128]) | at_least(1, PRESENCE, [K00440, K00441, K00442, K00443]) | at_least(2, PRESENCE, [K14086, K14087, K14088, K14089, K14090, K14091])] & [at_least(4, PRESENCE, [K00200, K00201, K00202, K00203, K00204, K00205, K00319, K00320, K13942, K00672, K01499, K12260, K11261, K22516, K00125]) | at_least(2, PRESENCE, [K00577, K00578, K00579, K00580, K00581, K00582, K00583, K00584])]	Methane Production & Consumption	Methane Production	Methanogenesis from H2/CO2; dominant pathway in shale and anaerobic digesters. Requires McrA plus hydrogenotrophic pathway genes including F420-reducing hydrogenase subunits and methyl-CoM reductase components.	K00399, K00401, K00402, K03421, K03422, K00200, K00201, K00202, K00203, K00204, K00205, K00319, K00320, K14126, K14127, K14128, McrA
Acetoclastic Methanogenesis	HMM@McrA & at_least(1, PRESENCE, [K00193, K00194, K00197, K00198]) & [[K00925 & K00625] | K01895]	Methane Production & Consumption	Methane Production	Methanogenesis from acetate; requires McrA, ACS/CODH complex (K00193, K00194, K00197, K00198), and acetate activation via phosphotransacetylase-acetate kinase (K00925, K00625) or acetyl-CoA synthetase (K01895). Taxonomy filter recommended (Methanosarcina or Methanotrichaceae).	K00399, K00401, K00402, K00193, K00194, K00197, K00198, K00925, K00625, K01895, McrA
Methylotrophic Methanogenesis	HMM@McrA & at_least(1, PRESENCE, [K04480, K14083, K16176, K16178, K25220, K16954, K25600, K25916, K26847])	Methane Production & Consumption	Methane Production	Methanogenesis from methylated substrates (methanol, methylamines, DMSP); McrA plus methyltransferase homologs (K04480, K14083, K16176, K16178, K25220, K16954, K25600, K25916, K26847).	K00399, K00401, K00402, K04480, K14083, K16176, K16178, K25220, K16954, K25600, K25916, K26847, McrA
