name	alias	rule	module	group	notes	gene_ids
simple sugars Sucrose	Sucrose	K01182|K01203|K12047|K01187|K12316|K12317|K06617|K01193|K00695|K02810|K00690|K05341|K00689|K00692	Carbon Processing	Sugars	Presence of sucrose metabolism genes indicates microbial potential to degrade, transform, or utilize sucrose.	K01182, K01203, K12047, K01187, K12316, K12317, K06617, K01193, K00695, K02810, K00690, K05341, K00689, K00692
simple sugars Mannose	Mannose	[K01809|K02793|K02794|K02795]|K02796	Carbon Processing	Sugars	Presence of mannose metabolism genes indicates microbial potential to utilize mannose-containing carbohydrates, supporting turnover of plant- and microbial-derived sugar compounds.	K01809, K02793, K02794, K02795, K02796
simple sugars Galactose	Galactose	[K00849|K00965|K01784]|K01785	Carbon Processing	Sugars	Presence of galactose metabolism genes indicates microbial potential to utilize galactose derived from plant polysaccharides, glycoproteins, or other organic matter inputs.	K00849, K00965, K01784, K01785
simple sugars Fucose	Fucose	[K00879|K01628]|K01818	Carbon Processing	Sugars	Presence of fucose metabolism genes indicates microbial potential to utilize fucose-containing glycans derived from host mucins, dietary fiber, or microbial cell surfaces. Fucose liberation is a key step in mucin glycan catabolism and supports cross-feeding among specialist gut microbes including Bacteroides and Bifidobacterium species.	K00879, K01628, K01818
simple sugars Xylose	Xylose	[K00854|K01805|K00008|K00011|K00854|K05351|K17743|K00078|K14273|K14274]|K14275	Carbon Processing	Sugars	Presence of xylose metabolism genes indicates microbial potential to utilize xylose, a major hemicellulose-derived sugar, linking plant polymer breakdown to downstream carbon metabolism.	K00854, K01805, K00008, K00011, K00854, K05351, K17743, K00078, K14273, K14274, K14275
simple sugars Fructose	Fructose	K00008|K00045|K27924|K00007|K00844|K00847|K01805|K00846|K27475|K02768|K02769|K02770|K02771|K11194|K11195|K11196	Carbon Processing	Sugars	Presence of fructose metabolism genes indicates microbial potential to utilize fructose and fructose-containing oligosaccharides (FOS, inulin) derived from dietary sources such as fruits, vegetables, and prebiotic supplements. Fructose fermentation supports microbial growth and short-chain fatty acid production in the colon.	K00008, K00045, K27924, K00007, K00844, K00847, K01805, K00846, K27475, K02768, K02769, K02770, K02771, K11194, K11195, K11196
simple sugars Arabinose	Arabinose	K01804|K00011|K26066|K13873|K19660|K12446	Carbon Processing	Sugars	Presence of arabinose metabolism genes indicates microbial potential to utilize arabinose, a common component of hemicellulose and pectin-derived plant carbohydrates.	K01804, K00011, K26066, K13873, K19660, K12446
simple sugars Rhamnose	Rhamnose	K01813|K01820|K18337	Carbon Processing	Sugars	Presence of rhamnose metabolism genes indicates microbial potential to utilize rhamnose-containing plant or microbial polysaccharides, supporting turnover of complex sugar inputs.	K01813, K01820, K18337
Cellulose	Cellulose	[GH5|GH8|GH9|GH10|GH12|GH44|GH45|GH124] & [GH6|GH7|GH48] & [GH1|GH3|GH94|GH116]	Carbon Processing	Fiber Degradation	A genome is capable of cellulose degradation if it encodes at least one endo-acting cellulase, one exo-acting cellobiohydrolase, and one β-glucosidase. LPMOs [AA9, AA10, AA16] provide an oxidative bonus that enhances but is not essential for cellulose degradation.	GH94, GH1, GH2, GH3, GH5, GH9, GH16, GH116, GH6, GH8, GH10, GH124, GH12, GH44, GH45, GH7, GH48, AA10, AA15, AA16, AA9, AA11, AA13
Hemicellulose	Hemicellulose	[GH5|GH9|GH10|GH11|GH12|GH16|GH26|GH44|GH45|GH74|GH113|GH134] & [GH2|GH31|GH38|GH43|GH51|GH63|GH92|GH125|GH130|CE1|CE2|CE4|CE17]	Carbon Processing	Fiber Degradation	For a genome to have hemicellulose degradation capability, it should encode: at least one backbone hydrolase, one side-chain/esterase, and optionally an LPMO for enhanced activity.	GH113, GH134, GH26, GH5, GH130, CE2, CE17, GH2, GH99, GH76, GH92, GH38, GH63, GH47, GH125, GH9, GH12, GH16, GH44, GH45, GH48, GH74, AA9, GH31, GH43, GH10, GH11, GH51, CE1, CE4
