name	gene_ids	rule	module	group	notes
chitinase degradation	k01207, k01183, k03791	k01183 | k03791 | k01207	carbon processing	big carbon	presence of chitin degrading enzymes
cellulose	gh94, gh1, gh2, gh3, gh5, gh9, gh16, gh116, gh6, gh8, gh10, gh124, gh12, gh44, gh45, gh7, gh48, aa10, aa15, aa16, aa9, aa11, aa13	[gh5 | gh8 | gh9 | gh10 | gh12 | gh44 | gh45 | gh124] & [gh6 | gh7 | gh48] & [gh1 | gh3 | gh94 | gh116]	carbon processing	big carbon	a genome is capable of cellulose degradation if it encodes at least one endo-acting cellulase, one exo-acting cellobiohydrolase, and one β-glucosidase. lpmos (aa9, aa10, aa16) provide an oxidative bonus that enhances but is not essential for cellulose degradation.
hemicellulose	gh113, gh134, gh26, gh5, gh130, ce2, ce17, gh2, gh99, gh76, gh92, gh38, gh63, gh47, gh125, gh9, gh12, gh16, gh44, gh45, gh48, gh74, aa9, gh31, gh43, gh10, gh11, gh51, ce1, ce4	[gh5 | gh9 | gh10 | gh11 | gh12 | gh16 | gh26 | gh44 | gh45 | gh74 | gh113 | gh134] & [gh2 | gh31 | gh38 | gh43 | gh51 | gh63 | gh92 | gh125 | gh130 | ce1 | ce2 | ce4 | ce17]	carbon processing	big carbon	for a genome to have hemicellulose degradation capability, it should encode: at least one backbone hydrolase, one side-chain/esterase, and optionally an lpmo for enhanced activity.
lignin	aa1, mco, aa2, dyp, aa3_2, aa5_1, aa8, aa3_1	[aa1 | mco | aa2 | dyp] & [aa3_1 | aa3_2 | aa5_1 | aa8]	carbon processing	big carbon	for a genome to have lignin degradation capability, it should encode: at least one oxidative polymer attack enzyme (aa1, mco, aa2, dyp) and one redox support enzyme (aa3_1, aa3_2, aa5_1, aa8) to drive oxidative depolymerization.
pectin	gh28, pl1, pl2, pl3, pl4, pl9, pl10, pl11, pl22, pl26, gh78, gh106, gh138, gh139, gh143, ce8, gh105, gh4, ce12, gh2	[gh28 | pl1 | pl2 | pl3 | pl4 | pl9 | pl10 | pl11 | pl22 | pl26] & [gh78 | gh106 | gh105 | gh4 | gh2 | gh138 | gh139 | gh143] & [ce8 | ce12]	carbon processing	big carbon	for a genome to have pectin degradation capability, it should encode: at least one backbone-cleaving hydrolase or lyase, one debranching or accessory enzyme, and one esterase for de-methylation or de-acetylation.
starch	aa13, gh13, gh14, gh15, gh57, gh97, gh119, gh126, gh133	gh13 | gh14 | gh15 | gh57 | gh97 | gh119 | gh126 | gh133	carbon processing	big carbon	for a genome to have starch degradation capability, it should encode: at least one amylolytic hydrolase (gh13, gh14, gh15, gh57, gh97, gh119, gh126, gh133) and optionally an lpmo (aa13) for oxidative enhancement.
anaerobic aromatic hydrocarbon degradation	k07540, k04114	k07540 | k04114	carbon processing	big carbon	for a genome to have anaerobic aromatic hydrocarbon degradation capability, it should encode at least one anaerobic aromatic activation enzyme: benzylsuccinate synthase (bssabc, k07540) for toluene via fumarate addition, or  benzoyl-coa reductase (bama, k04114) for benzoyl-coa reductive dearomatization. presence of both indicates likely capacity for anaerobic degradation of aromatic hydrocarbons in marine sediments. 
acetate (scfa)	k00625, k00925, k01905, k01067	[k00625 & k00925] | k01905 | k01067	carbon processing	medium carbon	acetate production can occur via the phosphate acetyltransferase–acetate kinase route (k00625 and k00925, both required) or alternative ligase (k01905) or hydrolase (k01067) pathways. either route yields acetate from acetyl-coa.
butyrate (scfa)	k00634, k00929, k01896	k00634 & [k00929 | k01896]	carbon processing	medium carbon	butyrate formation proceeds via phosphate butyryltransferase (k00634) coupled with either butyrate kinase (k00929) or medium-chain acyl-coa synthetase (k01896). both steps are required for full conversion.
lactate (scfa)	k00016, k00101, k03778, k03777	k00016 | k00101 | k03778 | k03777	carbon processing	medium carbon	lactate formation can occur through l-lactate dehydrogenases (k00016, k00101) or d-lactate variants (k03778, k03777). presence of any indicates capacity for pyruvate reduction to lactate.
propionate (scfa)	k19697, k01026	k19697 & k01026	carbon processing	medium carbon	propionate formation requires both propionate kinase (k19697) and propionate coa-transferase (k01026) for coa-dependent conversion of intermediates to propionate.
pyruvate (scfa)	k00163, k00174, k00656	k00163 | k00174 | k00656	carbon processing	medium carbon	pyruvate conversion to acetyl-coa occurs via one of three enzyme complexes: pyruvate dehydrogenase (k00163), 2-oxoacid ferredoxin oxidoreductase (k00174), or formate-acetyltransferase (k00656). presence of any indicates potential for acetyl-coa formation.
arabinose		k01804 | k00011 | k26066 | k13873 | k19660 | k12446	carbon processing	medium carbon	
fructose		k00008 | k00045 | k27924 | k00007 | k00844 | k00847 | k01805 | k00846 | k27475 | k02768 | k02769 | k02770 | k02771 | k11194 | k11195 | k11196	carbon processing	medium carbon	
fucose		k00879 | k01628 | k01818	carbon processing	medium carbon	
galactose		k00849 | k00965 | k01784 | k01785	carbon processing	medium carbon	
mannose		k01809 | k02793 | k02794 | k02795 | k02796	carbon processing	medium carbon	
rhamnose		k01813 | k01820 | k18337	carbon processing	medium carbon	
sucrose		k01182 | k01203 | k12047 | k01187 | k12316 | k12317 | k06617 | k01193 | k00695 | k02810 | k00690 | k05341 | k00689 | k00692	carbon processing	medium carbon	
xylose		k00854 | k01805 | k00008 | k00011 | k05351 | k17743 | k00078 | k14273 | k14274 | k14275	carbon processing	medium carbon	
alcohol	k00001, k00121, k04072, k13951, k13952, k13953, k13954, k13980, k18857	k00001 | k00121 | k04072 | k13951 | k13952 | k13953 | k13954 | k13980 | k18857	carbon processing	medium carbon	for a genome to have alcohol conversion capability, it should encode: at least one alcohol dehydrogenase or related enzyme involved in ethanol and higher-alcohol interconversion.
fatty acid degradation β-oxidation 	k06445, k00249, k00255, k09479, k13767, k01825, k00632	[k06445 | k00249 | k00255 | k09479] & [k13767 | k01825] & k00632	carbon processing	medium carbon	for a genome to have fatty acid degradation capability via β-oxidation, it should encode at least one acyl-coa dehydrogenase (fade,k06445,k00249,k00255,k09479), one enoyl-coa hydratase (fadb,k13767,k01825), and thiolase (fada,k00632) completing one full β-oxidation cycle. 
aerobic ch4 oxidation	k16157, k16158, k16159, k16160, k16161, k16162, k10944, k10945, k10946	[k10944 & k10945 & k10946] | [k16157 & k16158 & k16159 & k16160 & k16161 & k16162]	carbon processing	little carbon	for a genome to have ch₄ oxidation capability, it must encode at least one methane monooxygenase complex (pmmo or smmo), which catalyzes the conversion of methane to methanol. 
alkane tranformation (archaeal)	k00399, k00401, k00402, k00421, k00422	k00399 & k00401 & k00402 & k00421 & k00422	carbon processing	little carbon	for a genome to have anaerobic alkane transformation capability, it should encode for a methyl-com reductase catalytic subunit (mcra, k00399). encoding for other subunits (mcrabcdg, k00399,k00401,k00402,k00421,k00422) is detected. this annotation will identify canonical mcr and divergent mcr or mcr-like sequences mapping to the same ko, performing an mcra phylogeny is recommended. presence of an mcr without phylogenetic placement can suggest multiple different metabolisms falling under anaerobic alkane transformation capability (various forms of methanogenesis, reverse methanogenesis, anaerobic alkane degradation). 
co2 fixation	k00192, k00195, k00193, k00197, k00194	k00192 & k00193 & k00194 & k00195 & k00197	carbon processing	c fixation	for a genome to have co₂ fixation capability via the acetyl-coa pathway, it should encode: the complete codh/acs complex (cdha, cdhb, cdhc, cdhd, and cdhe subunits), which together catalyze co₂ reduction to acetyl-coa. this is distinct from the wood-ljungdahl pathway row which additionally requires (eastern) methyl branch genes.
wood-ljungdahl pathway	k00198, k14138, k00192, k00195, k00193, k00194, k00197, k01938, k05299	[k00198 | [k00192 & k00193 & k00194 & k00195 & k00197]] & [k14138 | k01938 | k05299]	carbon processing	c fixation	for a genome to have wood-ljungdahl co2 fixation capability, it should encode the complete western brnach codh/acs complex for either the bacterial (k00198, k14138) or archaeal (k00192, k00195, k00193, k00194, k00197) and have at least one eastern/methyl branch entry point (fdha k01938 or fhs k05299). presence of both branches indicates full reductive acetyl-coa synthesis from co2 molecules. 
3-hydroxypropionate/4-hydroxybutyrate (3hp/4hb) cycle	k14534, k15017, k18603, k18604, k18605, k15039, k18602	k14534 & [k15017 | k18603 | k18604 | k18605] & [k15039 & k18602]	carbon processing	c fixation	for a genome to have 3hp/4hb co₂ fixation capability, it should encode all of the 3 following genes - 1) k14534, 2) either malonyl-coa reductase or acetyl-coa carboxylase (k15017, or k18603-5, respectively) 3) either k15039 and k18602) .presence of all three modules indicates complete autotrophic co₂ fixation via the 3hp/4hb cycle, something previously characteristic of crenarchaeota in marine sediments.
calvin-benson-bassham (cbb) cycle	k01601, k00855, k01783	k01601 & k00855 & k01783	carbon processing	c fixation	for a genome to have cbb cycle co₂ fixation capability it should encode ribulose-bisphosphate carboxylase large chain (rbcl, k01601), phosphoribulokinase (prk, k00855), and one ribulose-phosphate 3-epimerase (rpe, k01783) to differentiate the cbb cycle from the rhp metabolic pathway. 
reductive glycine pathway	k00283, k00282, k02437, k00605, k10671, k10672, k00384, k21577, k21576, k03671, k10670	at_least(3, presence, [k00283, k00282, k02437, k00605]) & at_least(5, presence, [k10671, k10672, k00384, k21577, k21576, k03671, k10670])	carbon processing	c fixation	for a genome to have reductive glycine pathway co₂ fixation capabilit, it should encode at least 3 proteins/subunuts of the glycine cleavage system (k00283, k00282, k02437, and k00605) and at least 5 of the glycine reductase  (k10671, k10672, k00384, k21577, k21576, k03671, and k10670). 
rtca cycle	k15233, k15232, k15234	k15233 | k15232	carbon processing	c fixation	for a genome to have reductive tca cycle it should encode either 1 atp-citrate lyase (k15233 or k15232) or citryl-coa synthetase+citryl-coa lyase (k15233 or k15232, and k15234). 
rump pathway (non-methanogenic methylotrophy type i)	k08093, k13831, k13812, k08094, k00093, k23995, k17066, k14028, k14029	[k08093 | k13831 | k13812] & k08094 & [k00093 | k23995 | k17066 | k14028 | k14029]	carbon processing	non-methanogenic methylotrophy	for a genome to have rump pathway methylotrophy capability it should encode hps (k08093,k13831,k13812) and phi (k08094) a methanol dehydrogenase (mdh, k00093,k23995,k17066,k14028,k14029) and at least one  together these suggest capacity to convert methanol and formaledehyde into usable fructose 6-phosphate. 
serine pathway (non-methanogenic methylotrophy type ii)	k00830, k00018, k08691, k00600	k00830 & k00018 & k08691	carbon processing	non-methanogenic methylotrophy	for a genome to have serine pathway methylotrophy capability it should encode serine-glyoxylate transaminase (sgt, k00830), hydroxypyruvate reductase (hpr, k00018), and malyl-coa lyase (mcl, k08691). additional encoding of serine hydroxymethyltransferase (shmt, k00600) further supports likelihood of having this pathway. 
hydrogenotrophic methanogenesis	k00399, k00401, k00402, k00200, k00201, k00202, k00203, k00204, k00205, k00672, k01499, k00319, k13942, k00320, k00577, k00578, k00579, k00580, k00581, k00584	[k00399 & k00401 & k00402] & [k00577 & k00578 & k00579 & k00580 & k00581 & k00584] & at_least(2, presence, [k00672, k01499, k00319 | k13942, k00320]) & [k00200 | k00201 | k00202 | k00203 | k00204 | k00205]	carbon processing	methanogenesis	"for a genome to have hydrogenotrophic methanogenesis capability it should encode the mcr complex (mcrabg, k00399+k00401+k00402), the mtr complex core subunits (mtra-e+h, k00577-k00581+k00584; mtrf/g omitted due to less consistent annotations), at least 2 of the 4 upper c1 pathway steps (ftr-k00672, mch-k01499, mtd-k00319 or hmd-k13942, mer-k00320), and at least one fwd/fmd subunit (k00200-k00205). this combination distinguishes hydrogenotrophic methanogens from obligate methylotrophic lineages (which lack mtr) and from aceticlastic methanogens (which lack the upper c1 pathway). anme archaea encode the same genes in reverse so performing an mcra phylogeny is highly recommended to confirm methanogenesis direction. methylotrophs that also do hydrogenotrophic methanogenesis e.g. canonical methanosarcinales) will present as matched to this row and ""methylotrophic and aceticlastic methanogenesis"". distinguishing between methanogenesis pathways via gene presence/absence is not recommended for genomes less than 90% complete. "
methylotrophic and aceticlastic methanogenesis	k00399, k00401, k00402, k04480, k14080, k14081, k14082, k16176, k16177, k16178, k16179, k14083, k14084, k16954, k16955, k00925, k00625, k01895, k00193, k00197, k00194	[k00399 & k00401 & k00402] & [[k04480 | k14080 | k14081] | [k14082 | k16176 | k16177 | k16178 | k16179 | k14083 | k14084] | [k16954 | k16955] | [[[k00925 & k00625] | k01895] & [k00193 & k00197 & k00194]]]	carbon processing	methanogenesis	for a genome to have methylotrophic or aceticlastic methanogenesis capability it should encode the mcr complex (mcrabg, k00399+k00401+k00402) plus at least one substrate-specific entry point. i.e. methanol, methylamines, methylated sulfur, or acetate . for methanol potential enzymes are mtab (k04480), mtaa (k14080), or mtac (k14081); for methylamines potential enzymes are mtba (k14082), mtmb/monomethylamine methyltransferase (k16176), mtmc/monomethylamine corrinoid protein (k16177), mtbb/dimethylamine methyltransferase (k16178), mtbc/dimethylamine corrinoid protein (k16179), mttb/trimethylamine methyltransferase (k14083), or mttc/trimethylamine corrinoid protein (k14084); for methylated sulfur potential enzymes are mtsa (k16954) or mtsb (k16955); for acetate, enzymes are acka+pta (k00925+k00625) or acs (k01895), combined with codh/acs core subunits cdhc+cdhe+cdhd (k00193+k00197+k00194). here, aceticlastic methanogenesis overlaps with co2 fixation and wood-ljungdahl rows, but is distinguished with the presence of the mcr complex. performing an mcra phylogeny is recommended to distinguish between methanogenesis and anaerobic methanotrophy. distinguishing between methanogenesis pathways via gene presence/absence is not recommended for genomes less than 90% complete. 
n2o to n2	k00376	k00376	inorganic nitrogen transformation	n reduction	the reduction of nitrous oxide (n₂o) to dinitrogen gas (n₂) is catalyzed by nitrous oxide reductase (nosz, k00376). presence of this gene indicates the potential for the final step of denitrification, converting n₂o into n₂.
